"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Delete exercise","LMS service","Wed Dec 17 17:02:04 UTC 2025","passed","Wed Dec 17 17:02:04 UTC 2025","Delete entity","Exercises","",""
"","31","Delete file","LMS service","Wed Dec 17 17:02:07 UTC 2025","passed","Wed Dec 17 17:02:07 UTC 2025","Delete entity","Files","",""
"","560","Create user","LMS service","Wed Dec 17 17:02:09 UTC 2025","passed","Wed Dec 17 17:02:09 UTC 2025","Create entity","Users","",""
"","32","Create file","LMS service","Wed Dec 17 17:02:05 UTC 2025","passed","Wed Dec 17 17:02:05 UTC 2025","Create entity","Files","",""
"","40","Create course","LMS service","Wed Dec 17 17:02:01 UTC 2025","passed","Wed Dec 17 17:02:01 UTC 2025","Create entity","Courses","",""
"","296","Get multiple exercises","LMS service","Wed Dec 17 17:02:05 UTC 2025","passed","Wed Dec 17 17:02:05 UTC 2025","Get entities","Exercises","",""
"","556","Login with correct email and password","LMS service","Wed Dec 17 17:02:00 UTC 2025","passed","Wed Dec 17 17:02:00 UTC 2025","Login","Authentication","",""
"","24","Create file with empty filename","LMS service","Wed Dec 17 17:02:06 UTC 2025","passed","Wed Dec 17 17:02:06 UTC 2025","Validate entity","Files","",""
"","268","Create exercise","LMS service","Wed Dec 17 17:02:02 UTC 2025","passed","Wed Dec 17 17:02:03 UTC 2025","Create entity","Exercises","",""
"","514","Create user","LMS service","Wed Dec 17 17:02:07 UTC 2025","passed","Wed Dec 17 17:02:08 UTC 2025","Create entity","Users","",""
"","43","Update course","LMS service","Wed Dec 17 17:02:01 UTC 2025","passed","Wed Dec 17 17:02:01 UTC 2025","Update entity","Courses","",""
"","22","Update exercise","LMS service","Wed Dec 17 17:02:03 UTC 2025","passed","Wed Dec 17 17:02:03 UTC 2025","Update entity","Exercises","",""
"","33","Get multiple courses","LMS service","Wed Dec 17 17:02:00 UTC 2025","passed","Wed Dec 17 17:02:00 UTC 2025","Get entities","Courses","",""
"","16","Get user me","LMS service","Wed Dec 17 17:02:09 UTC 2025","passed","Wed Dec 17 17:02:09 UTC 2025","Get entity","Users","",""
"","284","Get exercise","LMS service","Wed Dec 17 17:02:03 UTC 2025","passed","Wed Dec 17 17:02:04 UTC 2025","Get entity","Exercises","",""
"","16","Get file","LMS service","Wed Dec 17 17:02:06 UTC 2025","passed","Wed Dec 17 17:02:06 UTC 2025","Get entity","Files","",""
"","523","Create user","LMS service","Wed Dec 17 17:02:08 UTC 2025","passed","Wed Dec 17 17:02:09 UTC 2025","Create entity","Users","",""
"","263","Get file with incorrect file id","LMS service","Wed Dec 17 17:02:08 UTC 2025","passed","Wed Dec 17 17:02:09 UTC 2025","Validate entity","Files","",""
"","265","Create file with empty directory","LMS service","Wed Dec 17 17:02:07 UTC 2025","passed","Wed Dec 17 17:02:07 UTC 2025","Validate entity","Files","",""
