"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Create file with empty filename","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Validate entity","Files","",""
"","0","Delete exercise","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Delete entity","Exercises","",""
"","0","Get multiple exercises","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Get entities","Exercises","",""
"","3","Create user","LMS service","Sat Dec 13 10:06:03 UTC 2025","broken","Sat Dec 13 10:06:03 UTC 2025","Create entity","Users","",""
"","0","Update course","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Update entity","Courses","",""
"","0","Get file","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Get entity","Files","",""
"","0","Create file with empty directory","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Validate entity","Files","",""
"","7","Create user","LMS service","Sat Dec 13 10:06:03 UTC 2025","broken","Sat Dec 13 10:06:03 UTC 2025","Create entity","Users","",""
"","0","Create file","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Create entity","Files","",""
"","0","Get file with incorrect file id","LMS service","Sat Dec 13 10:06:03 UTC 2025","broken","Sat Dec 13 10:06:03 UTC 2025","Validate entity","Files","",""
"","0","Get multiple courses","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Get entities","Courses","",""
"","0","Get exercise","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Get entity","Exercises","",""
"","0","Get user me","LMS service","Sat Dec 13 10:06:03 UTC 2025","broken","Sat Dec 13 10:06:03 UTC 2025","Get entity","Users","",""
"","0","Create exercise","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Create entity","Exercises","",""
"","6","Create user","LMS service","Sat Dec 13 10:06:03 UTC 2025","broken","Sat Dec 13 10:06:03 UTC 2025","Create entity","Users","",""
"","0","Delete file","LMS service","Sat Dec 13 10:06:03 UTC 2025","broken","Sat Dec 13 10:06:03 UTC 2025","Delete entity","Files","",""
"","0","Login with correct email and password","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Login","Authentication","",""
"","0","Update exercise","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Update entity","Exercises","",""
"","0","Create course","LMS service","Sat Dec 13 10:06:02 UTC 2025","broken","Sat Dec 13 10:06:02 UTC 2025","Create entity","Courses","",""
