"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Get file","LMS service","Sat Dec 13 10:13:30 UTC 2025","passed","Sat Dec 13 10:13:30 UTC 2025","Get entity","Files","",""
"","493","Create user","LMS service","Sat Dec 13 10:13:32 UTC 2025","passed","Sat Dec 13 10:13:32 UTC 2025","Create entity","Users","",""
"","21","Delete file","LMS service","Sat Dec 13 10:13:31 UTC 2025","passed","Sat Dec 13 10:13:31 UTC 2025","Delete entity","Files","",""
"","252","Create exercise","LMS service","Sat Dec 13 10:13:27 UTC 2025","passed","Sat Dec 13 10:13:27 UTC 2025","Create entity","Exercises","",""
"","525","Login with correct email and password","LMS service","Sat Dec 13 10:13:24 UTC 2025","passed","Sat Dec 13 10:13:25 UTC 2025","Login","Authentication","",""
"","19","Update exercise","LMS service","Sat Dec 13 10:13:27 UTC 2025","passed","Sat Dec 13 10:13:27 UTC 2025","Update entity","Exercises","",""
"","532","Create user","LMS service","Sat Dec 13 10:13:32 UTC 2025","passed","Sat Dec 13 10:13:33 UTC 2025","Create entity","Users","",""
"","18","Create file with empty filename","LMS service","Sat Dec 13 10:13:30 UTC 2025","passed","Sat Dec 13 10:13:30 UTC 2025","Validate entity","Files","",""
"","249","Get file with incorrect file id","LMS service","Sat Dec 13 10:13:32 UTC 2025","passed","Sat Dec 13 10:13:32 UTC 2025","Validate entity","Files","",""
"","480","Create user","LMS service","Sat Dec 13 10:13:31 UTC 2025","passed","Sat Dec 13 10:13:32 UTC 2025","Create entity","Users","",""
"","275","Get multiple exercises","LMS service","Sat Dec 13 10:13:29 UTC 2025","passed","Sat Dec 13 10:13:29 UTC 2025","Get entities","Exercises","",""
"","248","Create file with empty directory","LMS service","Sat Dec 13 10:13:31 UTC 2025","passed","Sat Dec 13 10:13:31 UTC 2025","Validate entity","Files","",""
"","282","Update course","LMS service","Sat Dec 13 10:13:25 UTC 2025","passed","Sat Dec 13 10:13:26 UTC 2025","Update entity","Courses","",""
"","31","Create course","LMS service","Sat Dec 13 10:13:26 UTC 2025","passed","Sat Dec 13 10:13:26 UTC 2025","Create entity","Courses","",""
"","26","Get multiple courses","LMS service","Sat Dec 13 10:13:25 UTC 2025","passed","Sat Dec 13 10:13:25 UTC 2025","Get entities","Courses","",""
"","20","Create file","LMS service","Sat Dec 13 10:13:29 UTC 2025","passed","Sat Dec 13 10:13:29 UTC 2025","Create entity","Files","",""
"","269","Get exercise","LMS service","Sat Dec 13 10:13:28 UTC 2025","passed","Sat Dec 13 10:13:28 UTC 2025","Get entity","Exercises","",""
"","15","Delete exercise","LMS service","Sat Dec 13 10:13:28 UTC 2025","passed","Sat Dec 13 10:13:28 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Sat Dec 13 10:13:33 UTC 2025","passed","Sat Dec 13 10:13:33 UTC 2025","Get entity","Users","",""
