"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","289","Update exercise","LMS service","Sat Dec 13 10:48:55 UTC 2025","passed","Sat Dec 13 10:48:55 UTC 2025","Update entity","Exercises","",""
"","16","Get exercise","LMS service","Sat Dec 13 10:48:55 UTC 2025","passed","Sat Dec 13 10:48:55 UTC 2025","Get entity","Exercises","",""
"","287","Delete exercise","LMS service","Sat Dec 13 10:48:56 UTC 2025","passed","Sat Dec 13 10:48:56 UTC 2025","Delete entity","Exercises","",""
"","269","Create exercise","LMS service","Sat Dec 13 10:48:54 UTC 2025","passed","Sat Dec 13 10:48:54 UTC 2025","Create entity","Exercises","",""
"","20","Delete file","LMS service","Sat Dec 13 10:48:59 UTC 2025","passed","Sat Dec 13 10:48:59 UTC 2025","Delete entity","Files","",""
"","264","Create file with empty directory","LMS service","Sat Dec 13 10:48:59 UTC 2025","passed","Sat Dec 13 10:48:59 UTC 2025","Validate entity","Files","",""
"","286","Login with correct email and password","LMS service","Sat Dec 13 10:48:51 UTC 2025","passed","Sat Dec 13 10:48:52 UTC 2025","Login","Authentication","",""
"","559","Create user","LMS service","Sat Dec 13 10:49:00 UTC 2025","passed","Sat Dec 13 10:49:01 UTC 2025","Create entity","Users","",""
"","265","Create file with empty filename","LMS service","Sat Dec 13 10:48:58 UTC 2025","passed","Sat Dec 13 10:48:58 UTC 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Sat Dec 13 10:48:58 UTC 2025","passed","Sat Dec 13 10:48:58 UTC 2025","Get entity","Files","",""
"","561","Create user","LMS service","Sat Dec 13 10:49:00 UTC 2025","passed","Sat Dec 13 10:49:01 UTC 2025","Create entity","Users","",""
"","28","Create course","LMS service","Sat Dec 13 10:48:53 UTC 2025","passed","Sat Dec 13 10:48:53 UTC 2025","Create entity","Courses","",""
"","262","Get file with incorrect file id","LMS service","Sat Dec 13 10:49:00 UTC 2025","passed","Sat Dec 13 10:49:00 UTC 2025","Validate entity","Files","",""
"","284","Get multiple exercises","LMS service","Sat Dec 13 10:48:56 UTC 2025","passed","Sat Dec 13 10:48:56 UTC 2025","Get entities","Exercises","",""
"","269","Create file","LMS service","Sat Dec 13 10:48:57 UTC 2025","passed","Sat Dec 13 10:48:57 UTC 2025","Create entity","Files","",""
"","14","Get user me","LMS service","Sat Dec 13 10:49:01 UTC 2025","passed","Sat Dec 13 10:49:01 UTC 2025","Get entity","Users","",""
"","526","Create user","LMS service","Sat Dec 13 10:48:59 UTC 2025","passed","Sat Dec 13 10:49:00 UTC 2025","Create entity","Users","",""
"","26","Get multiple courses","LMS service","Sat Dec 13 10:48:52 UTC 2025","passed","Sat Dec 13 10:48:52 UTC 2025","Get entities","Courses","",""
"","30","Update course","LMS service","Sat Dec 13 10:48:53 UTC 2025","passed","Sat Dec 13 10:48:53 UTC 2025","Update entity","Courses","",""
