"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Get file","LMS service","Wed Dec 17 17:06:06 UTC 2025","passed","Wed Dec 17 17:06:06 UTC 2025","Get entity","Files","",""
"","286","Login with correct email and password","LMS service","Wed Dec 17 17:06:00 UTC 2025","passed","Wed Dec 17 17:06:00 UTC 2025","Login","Authentication","",""
"","291","Create user","LMS service","Wed Dec 17 17:06:09 UTC 2025","passed","Wed Dec 17 17:06:09 UTC 2025","Create entity","Users","",""
"","290","Get multiple exercises","LMS service","Wed Dec 17 17:06:05 UTC 2025","passed","Wed Dec 17 17:06:05 UTC 2025","Get entities","Exercises","",""
"","307","Update course","LMS service","Wed Dec 17 17:06:01 UTC 2025","passed","Wed Dec 17 17:06:02 UTC 2025","Update entity","Courses","",""
"","294","Update exercise","LMS service","Wed Dec 17 17:06:03 UTC 2025","passed","Wed Dec 17 17:06:04 UTC 2025","Update entity","Exercises","",""
"","19","Delete exercise","LMS service","Wed Dec 17 17:06:05 UTC 2025","passed","Wed Dec 17 17:06:05 UTC 2025","Delete entity","Exercises","",""
"","299","Get multiple courses","LMS service","Wed Dec 17 17:06:01 UTC 2025","passed","Wed Dec 17 17:06:01 UTC 2025","Get entities","Courses","",""
"","270","Create file with empty directory","LMS service","Wed Dec 17 17:06:07 UTC 2025","passed","Wed Dec 17 17:06:08 UTC 2025","Validate entity","Files","",""
"","531","Create user","LMS service","Wed Dec 17 17:06:08 UTC 2025","passed","Wed Dec 17 17:06:09 UTC 2025","Create entity","Users","",""
"","564","Create user","LMS service","Wed Dec 17 17:06:09 UTC 2025","passed","Wed Dec 17 17:06:09 UTC 2025","Create entity","Users","",""
"","269","Create file","LMS service","Wed Dec 17 17:06:06 UTC 2025","passed","Wed Dec 17 17:06:06 UTC 2025","Create entity","Files","",""
"","25","Delete file","LMS service","Wed Dec 17 17:06:08 UTC 2025","passed","Wed Dec 17 17:06:08 UTC 2025","Delete entity","Files","",""
"","259","Get file with incorrect file id","LMS service","Wed Dec 17 17:06:09 UTC 2025","passed","Wed Dec 17 17:06:09 UTC 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Wed Dec 17 17:06:10 UTC 2025","passed","Wed Dec 17 17:06:10 UTC 2025","Get entity","Users","",""
"","269","Create file with empty filename","LMS service","Wed Dec 17 17:06:07 UTC 2025","passed","Wed Dec 17 17:06:07 UTC 2025","Validate entity","Files","",""
"","18","Get exercise","LMS service","Wed Dec 17 17:06:04 UTC 2025","passed","Wed Dec 17 17:06:04 UTC 2025","Get entity","Exercises","",""
"","29","Create course","LMS service","Wed Dec 17 17:06:02 UTC 2025","passed","Wed Dec 17 17:06:02 UTC 2025","Create entity","Courses","",""
"","277","Create exercise","LMS service","Wed Dec 17 17:06:03 UTC 2025","passed","Wed Dec 17 17:06:03 UTC 2025","Create entity","Exercises","",""
