"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","255","Create file with empty filename","LMS service","Wed Dec 17 17:05:57 UTC 2025","passed","Wed Dec 17 17:05:57 UTC 2025","Validate entity","Files","",""
"","18","Get multiple exercises","LMS service","Wed Dec 17 17:05:56 UTC 2025","passed","Wed Dec 17 17:05:56 UTC 2025","Get entities","Exercises","",""
"","255","Create file with empty directory","LMS service","Wed Dec 17 17:05:58 UTC 2025","passed","Wed Dec 17 17:05:58 UTC 2025","Validate entity","Files","",""
"","32","Get multiple courses","LMS service","Wed Dec 17 17:05:51 UTC 2025","passed","Wed Dec 17 17:05:51 UTC 2025","Get entities","Courses","",""
"","533","Create user","LMS service","Wed Dec 17 17:05:59 UTC 2025","passed","Wed Dec 17 17:05:59 UTC 2025","Create entity","Users","",""
"","284","Update course","LMS service","Wed Dec 17 17:05:52 UTC 2025","passed","Wed Dec 17 17:05:52 UTC 2025","Update entity","Courses","",""
"","24","Delete file","LMS service","Wed Dec 17 17:05:58 UTC 2025","passed","Wed Dec 17 17:05:58 UTC 2025","Delete entity","Files","",""
"","496","Create user","LMS service","Wed Dec 17 17:05:58 UTC 2025","passed","Wed Dec 17 17:05:59 UTC 2025","Create entity","Users","",""
"","535","Create user","LMS service","Wed Dec 17 17:05:59 UTC 2025","passed","Wed Dec 17 17:05:59 UTC 2025","Create entity","Users","",""
"","17","Get file","LMS service","Wed Dec 17 17:05:57 UTC 2025","passed","Wed Dec 17 17:05:57 UTC 2025","Get entity","Files","",""
"","285","Create course","LMS service","Wed Dec 17 17:05:52 UTC 2025","passed","Wed Dec 17 17:05:53 UTC 2025","Create entity","Courses","",""
"","276","Update exercise","LMS service","Wed Dec 17 17:05:54 UTC 2025","passed","Wed Dec 17 17:05:54 UTC 2025","Update entity","Exercises","",""
"","243","Get file with incorrect file id","LMS service","Wed Dec 17 17:05:59 UTC 2025","passed","Wed Dec 17 17:05:59 UTC 2025","Validate entity","Files","",""
"","251","Create file","LMS service","Wed Dec 17 17:05:56 UTC 2025","passed","Wed Dec 17 17:05:56 UTC 2025","Create entity","Files","",""
"","15","Get exercise","LMS service","Wed Dec 17 17:05:54 UTC 2025","passed","Wed Dec 17 17:05:54 UTC 2025","Get entity","Exercises","",""
"","259","Create exercise","LMS service","Wed Dec 17 17:05:53 UTC 2025","passed","Wed Dec 17 17:05:53 UTC 2025","Create entity","Exercises","",""
"","19","Delete exercise","LMS service","Wed Dec 17 17:05:55 UTC 2025","passed","Wed Dec 17 17:05:55 UTC 2025","Delete entity","Exercises","",""
"","15","Get user me","LMS service","Wed Dec 17 17:06:00 UTC 2025","passed","Wed Dec 17 17:06:00 UTC 2025","Get entity","Users","",""
"","525","Login with correct email and password","LMS service","Wed Dec 17 17:05:51 UTC 2025","passed","Wed Dec 17 17:05:51 UTC 2025","Login","Authentication","",""
