"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","526","Login with correct email and password","LMS service","Wed Dec 17 10:17:22 UTC 2025","passed","Wed Dec 17 10:17:22 UTC 2025","Login","Authentication","",""
"","35","Create course","LMS service","Wed Dec 17 10:17:23 UTC 2025","passed","Wed Dec 17 10:17:24 UTC 2025","Create entity","Courses","",""
"","533","Create user","LMS service","Wed Dec 17 10:17:30 UTC 2025","passed","Wed Dec 17 10:17:31 UTC 2025","Create entity","Users","",""
"","281","Delete file","LMS service","Wed Dec 17 10:17:29 UTC 2025","passed","Wed Dec 17 10:17:29 UTC 2025","Delete entity","Files","",""
"","510","Create user","LMS service","Wed Dec 17 10:17:30 UTC 2025","passed","Wed Dec 17 10:17:30 UTC 2025","Create entity","Users","",""
"","292","Update course","LMS service","Wed Dec 17 10:17:23 UTC 2025","passed","Wed Dec 17 10:17:23 UTC 2025","Update entity","Courses","",""
"","251","Create file with empty directory","LMS service","Wed Dec 17 10:17:29 UTC 2025","passed","Wed Dec 17 10:17:29 UTC 2025","Validate entity","Files","",""
"","252","Get file with incorrect file id","LMS service","Wed Dec 17 10:17:30 UTC 2025","passed","Wed Dec 17 10:17:30 UTC 2025","Validate entity","Files","",""
"","256","Create exercise","LMS service","Wed Dec 17 10:17:24 UTC 2025","passed","Wed Dec 17 10:17:25 UTC 2025","Create entity","Exercises","",""
"","15","Get file","LMS service","Wed Dec 17 10:17:28 UTC 2025","passed","Wed Dec 17 10:17:28 UTC 2025","Get entity","Files","",""
"","25","Create file with empty filename","LMS service","Wed Dec 17 10:17:28 UTC 2025","passed","Wed Dec 17 10:17:28 UTC 2025","Validate entity","Files","",""
"","29","Get multiple courses","LMS service","Wed Dec 17 10:17:23 UTC 2025","passed","Wed Dec 17 10:17:23 UTC 2025","Get entities","Courses","",""
"","274","Get multiple exercises","LMS service","Wed Dec 17 10:17:27 UTC 2025","passed","Wed Dec 17 10:17:27 UTC 2025","Get entities","Exercises","",""
"","12","Get user me","LMS service","Wed Dec 17 10:17:31 UTC 2025","passed","Wed Dec 17 10:17:31 UTC 2025","Get entity","Users","",""
"","22","Delete exercise","LMS service","Wed Dec 17 10:17:26 UTC 2025","passed","Wed Dec 17 10:17:26 UTC 2025","Delete entity","Exercises","",""
"","276","Get exercise","LMS service","Wed Dec 17 10:17:25 UTC 2025","passed","Wed Dec 17 10:17:26 UTC 2025","Get entity","Exercises","",""
"","23","Create file","LMS service","Wed Dec 17 10:17:27 UTC 2025","passed","Wed Dec 17 10:17:27 UTC 2025","Create entity","Files","",""
"","537","Create user","LMS service","Wed Dec 17 10:17:30 UTC 2025","passed","Wed Dec 17 10:17:31 UTC 2025","Create entity","Users","",""
"","23","Update exercise","LMS service","Wed Dec 17 10:17:25 UTC 2025","passed","Wed Dec 17 10:17:25 UTC 2025","Update entity","Exercises","",""
